lyric,occurence,pos
you,1895,PRO
i,1670,N
the,1264,DET
and,828,CNJ
a,824,DET
to,744,TO
me,708,PRO
it,664,PRO
my,599,PRO
that,493,CNJ
i'm,451,
in,413,P
on,411,P
your,404,PRO
like,362,CNJ
so,323,DET
be,322,V
know,308,V
don't,307,V
up,305,ADV
we,303,PRO
love,297,N
just,295,ADV
got,269,VD
na,266,
go,247,V
you're,242,PRO
all,241,DET
but,241,CNJ
of,241,P
what,239,WH
down,237,ADV
this,229,DET
is,221,V
now,218,ADV
she,218,PRO
oh,216,UH
get,215,V
do,210,V
want,206,V
for,204,P
can,200,MOD
with,198,P
one,196,NUM
when,193,WH
it's,189,PRO
see,184,V
no,181,DET
girl,175,N
baby,174,N
wanna,171,VB+TO
can't,158,MOD
right,155,ADJ
hey,139,UH
night,138,N
out,136,ADV
if,134,CNJ
at,131,P
'cause,128,
say,128,V
never,125,ADV
her,124,PRO
make,120,V
are,116,V
yeah,115,ADV
then,114,ADV
gonna,113,VBG+TO
how,113,WH
boom,109,N
way,109,N
let,108,V
ain't,105,V
time,104,N
not,103,*
la,100,FW
good,94,ADJ
was,94,V
dance,93,N
they,92,PRO
feel,89,V
life,89,N
been,88,V
i'll,88,
tell,88,V
have,84,V
take,83,V
why,81,WH
bum,80,N
ya,80,PRO
back,79,ADV
about,77,P
gotta,77,VBN+TO
could,76,MOD
need,76,N
ever,73,ADV
more,73,DET
he,71,PRO
them,71,PRO
would,71,MOD
had,70,V
halo,69,N
da,67,
or,67,CNJ
through,67,P
too,67,DET
put,64,V
beautiful,63,ADJ
from,63,P
let's,63,VB+PPO
keep,62,V
that's,61,DET
mum,60,ADJ
as,59,CNJ
game,59,N
i've,59,
boy,58,N
gone,57,VN
here,57,ADV
miss,57,V
said,57,VD
even,56,ADV
rock,56,N
she's,56,PRO
every,55,DET
come,54,V
there,54,EX
girls,53,N
where,53,WH
won't,53,MOD
best,52,ADJ
there's,52,EX
think,52,V
ay,51,
day,51,N
face,51,N
off,50,ADV
thing,50,N
call,49,V
two,49,NUM
hope,48,N
mind,47,N
always,46,ADV
some,46,DET
were,46,V
floor,45,N
give,45,V
world,45,N
around,44,P
head,44,N
shit,43,N
away,42,ADV
fire,42,N
live,42,V
leave,41,V
try,41,V
break,40,V
find,40,V
kiss,40,V
last,40,DET
loving,40,VG
gon',39,
his,39,PRO
man,39,N
only,39,ADV
run,39,V
who,39,WH
hell,38,N
into,38,P
little,38,DET
over,38,P
three,38,NUM
womanizer,38,
again,37,ADV
blame,37,V
crazy,37,ADJ
goodbye,37,UH
long,37,ADJ
much,37,DET
play,37,V
forever,36,ADV
found,36,VN
somebody,36,PRO
we're,36,PRO
well,36,ADV
will,36,MOD
you'll,36,PRO
better,35,ADJ
home,35,N
nothing,35,PRO
tonight,35,N
diva,34,N
money,34,N
please,34,V
turn,34,V
eyes,33,N
heart,33,N
wants,33,VBZ
be-dum,32,
damn,32,ADJ
look,32,V
read,32,V
bad,31,ADJ
beat,31,N
by,31,P
everything,31,PRO
old,31,ADJ
told,31,VD
fight,30,N
hotel,30,N
new,30,ADJ
round,30,ADJ
seems,30,VBZ
sleep,30,N
stop,30,V
un-huh,30,
whatever,30,WH
dead,29,ADJ
hate,29,V
i'd,29,
mayne,29,
ooh,29,
ring,29,N
still,29,ADV
burning,28,VG
everybody,28,PRO
gives,28,VBZ
'em,27,PRO
battlefield,27,N
nobody,27,PRO
phone,27,N
ready,27,ADJ
sweet,27,ADJ
wish,27,V
okay,26,ADJ
trust,26,V
big,25,ADJ
bring,25,V
couldn't,25,MOD
wanted,25,VD
wrong,25,ADJ
am,24,V
free,24,ADJ
locked,24,VN
meet,24,V
nothin',24,PRO
room,24,N
show,24,V
song,24,N
they're,24,PRO
things,24,N
what's,24,WH
whoo-ooh,24,
an,23,DET
cry,23,N
done,23,VN
late,23,ADJ
lie,23,V
lose,23,V
mad,23,ADJ
ohh,23,
our,23,PRO
same,23,DET
should,23,MOD
single,23,DET
talk,23,V
thought,23,VD
today,23,N
top,23,N
used,23,VN
body,22,N
club,22,N
coming,22,VG
did,22,V
fall,22,N
fuckin',22,
he's,22,PRO
really,22,ADV
ride,22,V
bed,21,N
friends,21,N
hands,21,N
hard,21,ADJ
hold,21,V
lost,21,VN
move,21,V
party,21,N
pop,21,N
pretty,21,DET
real,21,ADJ
remember,21,V
rockin',21,
seen,21,VN
shawty,21,
throw,21,V
us,21,PRO
y'all,21,PRO
alone,20,ADV
already,20,ADV
before,20,CNJ
guess,20,V
hit,20,V
hot,20,ADJ
imma,20,
mah,20,PRO
someone,20,PRO
stay,20,V
tonight's,20,N
town,20,N
until,20,CNJ
wake,20,V
lonely,19,ADJ
own,19,ADJ
wait,19,V
woman,19,N
yo,19,
believe,18,V
cold,18,ADJ
feels,18,VBZ
first,18,NUM
hear,18,V
him,18,PRO
hoe,18,
liked,18,VD
moving,18,VG
nigga,18,
que,18,FW
road,18,N
stand,18,V
start,18,V
untouched,18,ADJ
yes,18,ADV
'til,17,
another,17,DET
bag,17,N
belong,17,V
broke,17,VD
cool,17,ADJ
dream,17,N
drink,17,N
falling,17,VG
front,17,N
goin',17,VG
heard,17,VD
inside,17,P
left,17,VN
name,17,N
part,17,N
spin,17,V
stick,17,V
beer,16,N
between,16,P
champagne,16,N
close,16,ADV
disturbia,16,
does,16,V
feelin',16,
gettin',16,VG
high,16,ADJ
hustla,16,
lights,16,N
made,16,VN
momma,16,
pain,16,N
rumba,16,
touch,16,N
ah,15,UH
ass,15,N
boys,15,N
countin',15,VG
fallin',15,
far,15,ADV
fun,15,N
god,15,N
looking,15,VG
moment,15,N
myself,15,PRO
ohhhhhhhh,15,
once,15,ADV
open,15,ADJ
sex,15,N
side,15,N
sing,15,V
sky,15,N
somethin',15,PRO
somewhere,15,ADV
spend,15,V
watch,15,V
white,15,ADJ
without,15,P
alright,14,
are-are,14,
